id,name,category,subcategory,type,price,brand,quantity
1,Sour Apple1 kg,Fruit and Vegetables,Fruit,Apple,2.2,MS Domestic,1 kg
2,Fuji Apple 1 kg,Fruit and Vegetables,Fruit,Apple,3,Fuji Farms,1 kg
3,Red Delicious Apple 1 kg,Fruit and Vegetables,Fruit,Apple,2.8,MS Domestic,1 kg
4,Chiquila Bananas 1 kg,Fruit and Vegetables,Fruit,Banana,1.8,Chiquila,1 kg
5,Organic Bananas 1 kg,Fruit and Vegetables,Fruit,Banana,2.2,MS Imported,1 kg
6,Lemons 1 kg,Fruit and Vegetables,Fruit,Lemon,1.8,Citrus Delight,1 kg
7,Juicy Oranges 1 kg,Fruit and Vegetables,Fruit,Orange,2,Citrus Bliss,1 kg
8,Blood Oranges 1 kg,Fruit and Vegetables,Fruit,Orange,2.5,MS Imported,1 kg
9,Baby Carrots 500 g,Fruit and Vegetables,Vegetable,Carrot,2,MS Domestic,500 g
10,Carrots for Cooking 1 kg,Fruit and Vegetables,Vegetable,Carrot,1.3,MS Domestic,1 kg
11,Tomatoes for Salad 1 kg,Fruit and Vegetables,Vegetable,Tomato,2.5,MS Domestic,1 kg
12,Cherry Tomatoes 500 g,Fruit and Vegetables,Vegetable,Tomato,3,Tomato World,500 g
13,Tomatoes for Sauce 1 kg,Fruit and Vegetables,Vegetable,Tomato,2,MS Domestic,1 kg
14,Persian Cucumbers 1 kg,Fruit and Vegetables,Vegetable,Cucumber,2.2,Fresh Choice,1 kg
15,Standard Cucumbers 1 kg,Fruit and Vegetables,Vegetable,Cucumber,2,MS Domestic,1 kg
16,Golden Potatoes 1 kg,Fruit and Vegetables,Vegetable,Potato,1,MS Domestic,1 kg
17,Russet Potatoes 1 kg,Fruit and Vegetables,Vegetable,Potato,1.2,Spud Farms,1 kg
18,White Onions 1 kg,Fruit and Vegetables,Vegetable,Onion,1.1,MS Domestic,1 kg
19,Red Onions 1 kg,Fruit and Vegetables,Vegetable,Onion,1.3,Fresh Picks,1 kg
20,Garlic Bulbs 100 g,Fruit and Vegetables,Vegetable,Garlic,1,MS Domestic,100 g
